ATP;Location;Tournament;Date;Series;Court;Surface;Round;Best of;Winner;Loser;WRank;LRank;W1;L1;W2;L2;W3;L3;W4;L4;W5;L5;Wsets;Lsets;Comment;WPts;LPts
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Black W.;Gambill J.M.;151;57;7;6;6;1;6;4;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Clavet F.;Hrbaty D.;39;22;3;6;6;1;6;4;7;6;;;3;1;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Clement A.;van Lottum J.;54;66;7;6;6;4;;;;;;;2;0;Retired;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Corretja A.;Sargsian S.;30;51;7;6;6;4;6;4;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Dosedel S.;Boutter J.;64;155;7;6;5;7;6;3;7;5;;;3;1;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Dupuis A.;Rodriguez M.;98;119;6;4;6;4;7;6;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;El Aynaoui Y.;Parmar A.;29;257;6;7;7;6;1;6;6;3;6;1;3;2;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Escude N.;Courier J.;34;36;6;7;6;3;7;5;6;1;;;3;1;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Federer R.;Chang M.;62;38;6;4;6;4;7;6;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Ferreira W.;Bastl G.;53;78;6;3;6;3;4;6;7;6;;;3;1;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Ferrero J.C.;Draper S.;40;200;7;6;6;3;7;6;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Fromberg R.;Enqvist T.;80;6;6;4;7;6;4;6;3;6;10;8;3;2;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Grosjean S.;Motomura G.;26;148;6;3;6;3;6;2;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Haas T.;Saulnier C.;12;171;7;6;6;4;4;6;6;2;;;3;1;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Henman T.;Golmard J.;13;31;6;7;6;3;7;6;7;6;;;3;1;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Hewitt L.;Goldstein P.;17;87;6;2;6;7;7;6;6;4;;;3;1;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Hill M.;Karbacher B.;238;139;6;4;6;2;6;2;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Ilie A.;Tarango J.;46;65;6;3;7;6;4;6;6;3;;;3;1;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Ivanisevic G.;Pioline C.;70;15;6;4;2;6;7;5;1;6;9;7;3;2;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Johansson T.;Kulti N.;42;121;6;1;6;2;6;4;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Jonsson F.;Diaz J.;123;84;4;6;4;6;6;2;7;5;6;3;3;2;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Kafelnikov Y.;Knippschild J.;2;85;6;7;6;4;6;1;6;2;;;3;1;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Kiefer N.;Canas G.;4;74;4;6;6;3;6;4;6;4;;;3;1;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Koubek S.;Cadart R.;43;217;6;3;5;7;6;2;6;4;;;3;1;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Krajicek R.;Santoro F.;10;25;6;1;6;2;7;5;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Kroslak J.;Lopez-Moron A.;104;117;6;1;3;6;6;3;7;5;;;3;1;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Lapentti N.;Medvedev A.;7;32;6;3;5;7;6;7;6;4;8;6;3;2;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Llodra M.;Gaudio G.;263;61;6;3;6;3;6;2;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Martin T.;Black B.;9;71;5;7;6;7;6;4;6;2;8;6;3;2;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Mirnyi M.;Agenor R.;67;94;6;7;7;6;6;3;6;3;;;3;1;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Norman M.;Mamiit C.;11;97;7;5;6;4;3;6;6;3;;;3;1;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Novak J.;Hipfl M.;37;75;6;3;4;6;6;3;5;7;6;2;3;2;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Paes L.;Petrovic D.;137;201;6;2;3;6;7;6;6;4;;;3;1;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Philippoussis M.;Okun N.;19;189;6;4;6;2;2;6;3;6;6;2;3;2;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Portas A.;Kuerten G.;91;5;4;6;4;6;6;4;7;6;6;4;3;2;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Pozzi G.;Zib T.;82;118;6;3;7;6;6;7;6;1;;;3;1;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Pretzsch A.;O'Brien A.;115;162;7;6;6;2;6;1;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Rochus C.;Costa A.;120;20;6;3;6;7;6;4;6;3;;;3;1;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Rosset M.;Delgado J.;45;143;7;6;6;3;7;6;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Sampras P.;Arthurs W.;3;105;6;4;7;5;6;4;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Schalken S.;Blanco G.;47;77;7;6;6;4;7;6;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Schuettler R.;Marin J.A.;60;73;6;3;6;3;6;3;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Sekulov J.;Ljubicic I.;133;72;7;6;4;6;4;6;7;5;6;0;3;2;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Sluiter R.;Gaudenzi A.;166;88;3;6;6;1;3;6;6;3;13;11;3;2;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Squillari F.;Sirianni J.;48;356;6;3;6;2;6;1;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Srichaphan P.;Kucera K.;102;18;6;2;6;4;3;6;6;3;;;3;1;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Stafford G.;Safin M.;472;23;7;6;6;4;6;1;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Tieleman L.;Martin A.;89;52;6;2;7;6;6;7;6;3;;;3;1;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Tillstrom M.;Lareau S.;79;103;4;6;6;4;6;2;6;1;;;3;1;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Ullyett K.;Tabara M.;182;122;6;1;7;6;4;6;6;1;;;3;1;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Vacek D.;Stanoytchev O.;44;109;1;6;7;6;7;6;6;2;;;3;1;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Vanek J.;Wessels P.;153;114;6;4;6;3;2;6;7;6;;;3;1;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Vicente F.;Berasategui A.;55;59;6;0;6;2;6;2;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Vinciguerra A.;Gumy H.;99;63;7;6;6;1;6;1;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Voinea A.;Spadea V.;95;21;7;6;4;6;4;6;6;3;6;2;3;2;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Woodbridge T.;Siemerink J.;204;93;6;4;6;1;6;3;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Woodforde M.;Sanguinetti D.;126;113;6;3;6;4;7;6;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Woodruff C.;Damm M.;56;92;6;3;7;6;6;3;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;Zabaleta M.;Mantilla F.;33;27;6;1;5;7;6;3;7;6;;;3;1;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;2nd Round;5;Agassi A.;Schalken S.;1;47;7;5;6;0;6;3;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;2nd Round;5;Alami K.;Llodra M.;35;263;7;6;6;3;6;2;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;2nd Round;5;Arazi H.;Jonsson F.;41;123;6;3;6;4;6;4;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;2nd Round;5;Bjorkman J.;Vanek J.;76;153;6;4;3;6;6;4;7;6;;;3;1;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;2nd Round;5;Black W.;Rosset M.;151;45;6;1;2;6;7;6;6;3;;;3;1;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;2nd Round;5;Clavet F.;Ivanisevic G.;39;70;7;6;6;4;6;2;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;2nd Round;5;Clement A.;Lapentti N.;54;7;3;6;7;6;6;2;4;1;;;2;1;Retired;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;2nd Round;5;Dosedel S.;Srichaphan P.;64;102;4;6;6;2;6;4;6;1;;;3;1;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;2nd Round;5;El Aynaoui Y.;Haas T.;29;12;7;5;6;3;6;3;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;2nd Round;5;Escude N.;Krajicek R.;34;10;2;6;6;3;6;1;6;3;;;3;1;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;2nd Round;5;Federer R.;Kroslak J.;62;104;7;6;6;2;6;3;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;2nd Round;5;Ferreira W.;Johansson T.;53;42;6;3;6;2;6;7;4;6;6;2;3;2;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;2nd Round;5;Ferrero J.C.;Tieleman L.;40;89;7;6;6;4;5;7;6;7;6;4;3;2;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;2nd Round;5;Fromberg R.;Pretzsch A.;80;115;7;6;7;6;6;4;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;2nd Round;5;Grosjean S.;Hill M.;26;238;4;6;6;1;7;6;6;0;;;3;1;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;2nd Round;5;Henman T.;Schuettler R.;13;60;6;2;4;1;;;;;;;1;0;Retired;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;2nd Round;5;Hewitt L.;Corretja A.;17;30;6;0;6;0;6;1;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;2nd Round;5;Ilie A.;Novak J.;46;37;6;3;7;6;6;7;6;4;;;3;1;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;2nd Round;5;Kafelnikov Y.;Vacek D.;2;44;6;3;6;0;6;1;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;2nd Round;5;Kiefer N.;Behrend T.;4;106;7;6;6;0;6;2;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;2nd Round;5;Koubek S.;Stafford G.;43;472;5;7;7;5;2;6;6;2;6;3;3;2;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;2nd Round;5;Mirnyi M.;Dupuis A.;67;98;6;7;7;6;7;6;7;6;;;3;1;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;2nd Round;5;Norman M.;Pozzi G.;11;82;6;4;6;3;6;4;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;2nd Round;5;Philippoussis M.;Sluiter R.;19;166;6;1;2;6;7;6;6;1;;;3;1;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;2nd Round;5;Rochus C.;Ullyett K.;120;182;6;4;6;4;6;3;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;2nd Round;5;Sampras P.;Tillstrom M.;3;79;6;3;7;6;6;1;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;2nd Round;5;Squillari F.;Woodforde M.;48;126;6;4;7;6;3;6;6;4;;;3;1;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;2nd Round;5;Vicente F.;Martin T.;55;9;6;4;2;6;3;6;6;3;7;5;3;2;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;2nd Round;5;Vinciguerra A.;Paes L.;99;137;7;6;6;4;6;3;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;2nd Round;5;Voinea A.;Portas A.;95;91;6;2;6;1;6;3;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;2nd Round;5;Woodruff C.;Sekulov J.;56;133;6;3;6;2;6;2;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;2nd Round;5;Zabaleta M.;Woodbridge T.;33;204;7;6;4;6;6;1;6;4;;;3;1;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;3rd Round;5;Agassi A.;Zabaleta M.;1;33;6;4;6;4;6;2;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;3rd Round;5;Arazi H.;Vicente F.;41;55;6;3;6;3;6;2;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;3rd Round;5;Clement A.;Federer R.;54;62;6;1;6;4;6;3;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;3rd Round;5;Dosedel S.;Squillari F.;64;48;7;5;6;2;6;3;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;3rd Round;5;El Aynaoui Y.;Ferrero J.C.;29;40;7;6;4;6;4;6;7;6;6;4;3;2;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;3rd Round;5;Escude N.;Vinciguerra A.;34;99;6;4;6;4;6;3;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;3rd Round;5;Ferreira W.;Clavet F.;53;39;6;3;6;4;3;6;6;3;;;3;1;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;3rd Round;5;Henman T.;Grosjean S.;13;26;6;1;6;4;4;6;7;6;;;3;1;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;3rd Round;5;Hewitt L.;Voinea A.;17;95;6;2;7;5;6;3;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;3rd Round;5;Kafelnikov Y.;Koubek S.;2;43;6;3;6;3;6;4;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;3rd Round;5;Kiefer N.;Alami K.;4;35;6;3;6;4;6;2;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;3rd Round;5;Norman M.;Bjorkman J.;11;76;6;4;6;4;7;6;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;3rd Round;5;Philippoussis M.;Ilie A.;19;46;6;4;7;6;6;1;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;3rd Round;5;Rochus C.;Mirnyi M.;120;67;3;6;6;4;6;3;7;6;;;3;1;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;3rd Round;5;Sampras P.;Black W.;3;151;6;7;3;6;6;3;7;5;6;3;3;2;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;3rd Round;5;Woodruff C.;Fromberg R.;56;80;6;1;6;4;7;6;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;4th Round;5;Agassi A.;Philippoussis M.;1;19;6;4;7;6;5;7;6;3;;;3;1;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;4th Round;5;Arazi H.;Escude N.;41;34;6;4;6;3;7;6;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;4th Round;5;El Aynaoui Y.;Clement A.;29;54;3;6;6;3;6;4;3;6;10;8;3;2;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;4th Round;5;Kafelnikov Y.;Rochus C.;2;120;6;1;6;3;7;5;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;4th Round;5;Kiefer N.;Ferreira W.;4;53;6;3;6;4;6;2;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;4th Round;5;Norman M.;Hewitt L.;11;17;6;3;6;1;7;6;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;4th Round;5;Sampras P.;Dosedel S.;3;64;6;1;6;2;3;6;6;1;;;3;1;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;4th Round;5;Woodruff C.;Henman T.;56;13;7;5;1;6;6;4;3;6;7;5;3;2;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;Quarterfinals;5;Agassi A.;Arazi H.;1;41;6;4;6;4;6;2;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;Quarterfinals;5;Kafelnikov Y.;El Aynaoui Y.;2;29;6;0;6;3;7;6;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;Quarterfinals;5;Norman M.;Kiefer N.;11;4;3;6;6;3;6;1;7;6;;;3;1;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;Quarterfinals;5;Sampras P.;Woodruff C.;3;56;7;5;6;3;6;3;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;Semifinals;5;Agassi A.;Sampras P.;1;3;6;4;3;6;6;7;7;6;6;1;3;2;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;Semifinals;5;Kafelnikov Y.;Norman M.;2;11;6;1;6;2;6;4;;;;;3;0;Completed;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;The Final;5;Agassi A.;Kafelnikov Y.;1;2;3;6;6;3;6;2;6;4;;;3;1;Completed;;
7;Dubai;Dubai Open;07/02/2000;International;Outdoor;Hard;1st Round;3;Alami K.;Norman M.;34;6;7;6;7;5;;;;;;;2;0;Completed;;
7;Dubai;Dubai Open;07/02/2000;International;Outdoor;Hard;1st Round;3;Arazi H.;Schuettler R.;27;57;6;2;6;3;;;;;;;2;0;Completed;;
7;Dubai;Dubai Open;07/02/2000;International;Outdoor;Hard;1st Round;3;Black W.;Vacek D.;153;45;6;2;6;3;;;;;;;2;0;Completed;;
7;Dubai;Dubai Open;07/02/2000;International;Outdoor;Hard;1st Round;3;Blanco G.;Schalken S.;78;49;6;3;6;3;;;;;;;2;0;Completed;;
7;Dubai;Dubai Open;07/02/2000;International;Outdoor;Hard;1st Round;3;Costa A.;Berasategui A.;18;59;6;4;7;5;;;;;;;2;0;Completed;;
7;Dubai;Dubai Open;07/02/2000;International;Outdoor;Hard;1st Round;3;El Aynaoui Y.;Ilie A.;21;50;6;3;6;3;;;;;;;2;0;Completed;;
7;Dubai;Dubai Open;07/02/2000;International;Outdoor;Hard;1st Round;3;Ferrero J.C.;Damm M.;39;108;6;3;7;6;;;;;;;2;0;Completed;;
7;Dubai;Dubai Open;07/02/2000;International;Outdoor;Hard;1st Round;3;Golmard J.;Clavet F.;33;37;6;4;4;6;6;1;;;;;2;1;Completed;;
7;Dubai;Dubai Open;07/02/2000;International;Outdoor;Hard;1st Round;3;Kiefer N.;Burgsmuller L.;4;160;6;1;2;6;6;4;;;;;2;1;Completed;;
7;Dubai;Dubai Open;07/02/2000;International;Outdoor;Hard;1st Round;3;Koubek S.;Marin J.A.;40;72;6;3;6;2;;;;;;;2;0;Completed;;
7;Dubai;Dubai Open;07/02/2000;International;Outdoor;Hard;1st Round;3;Lapentti N.;Gross O.;9;173;6;3;6;2;;;;;;;2;0;Completed;;
7;Dubai;Dubai Open;07/02/2000;International;Outdoor;Hard;1st Round;3;Mantilla F.;Black B.;25;70;7;6;6;2;;;;;;;2;0;Completed;;
7;Dubai;Dubai Open;07/02/2000;International;Outdoor;Hard;1st Round;3;Martin A.;Tarango J.;52;76;6;7;6;2;6;2;;;;;2;1;Completed;;
7;Dubai;Dubai Open;07/02/2000;International;Outdoor;Hard;1st Round;3;Novak J.;Alvarez E.;43;141;6;3;1;6;6;1;;;;;2;1;Completed;;
7;Dubai;Dubai Open;07/02/2000;International;Outdoor;Hard;1st Round;3;Pavel A.;Prinosil D.;61;68;6;2;6;2;;;;;;;2;0;Completed;;
7;Dubai;Dubai Open;07/02/2000;International;Outdoor;Hard;1st Round;3;Vicente F.;Paes L.;47;140;6;0;4;6;6;3;;;;;2;1;Completed;;
7;Dubai;Dubai Open;07/02/2000;International;Outdoor;Hard;2nd Round;3;Alami K.;Vicente F.;34;47;6;4;3;6;6;1;;;;;2;1;Completed;;
7;Dubai;Dubai Open;07/02/2000;International;Outdoor;Hard;2nd Round;3;Costa A.;Koubek S.;18;40;6;0;6;4;;;;;;;2;0;Completed;;
7;Dubai;Dubai Open;07/02/2000;International;Outdoor;Hard;2nd Round;3;El Aynaoui Y.;Blanco G.;21;78;6;4;1;6;6;0;;;;;2;1;Completed;;
7;Dubai;Dubai Open;07/02/2000;International;Outdoor;Hard;2nd Round;3;Ferrero J.C.;Lapentti N.;39;9;6;4;6;3;;;;;;;2;0;Completed;;
7;Dubai;Dubai Open;07/02/2000;International;Outdoor;Hard;2nd Round;3;Golmard J.;Pavel A.;33;61;3;6;6;4;7;6;;;;;2;1;Completed;;
7;Dubai;Dubai Open;07/02/2000;International;Outdoor;Hard;2nd Round;3;Kiefer N.;Martin A.;4;52;6;3;5;7;6;0;;;;;2;1;Completed;;
7;Dubai;Dubai Open;07/02/2000;International;Outdoor;Hard;2nd Round;3;Mantilla F.;Black W.;25;153;6;1;6;3;;;;;;;2;0;Completed;;
7;Dubai;Dubai Open;07/02/2000;International;Outdoor;Hard;2nd Round;3;Novak J.;Arazi H.;43;27;6;4;1;6;6;0;;;;;2;1;Completed;;
7;Dubai;Dubai Open;07/02/2000;International;Outdoor;Hard;Quarterfinals;3;Alami K.;Novak J.;34;43;6;4;6;2;;;;;;;2;0;Completed;;
7;Dubai;Dubai Open;07/02/2000;International;Outdoor;Hard;Quarterfinals;3;Costa A.;El Aynaoui Y.;18;21;6;2;6;4;;;;;;;2;0;Completed;;
7;Dubai;Dubai Open;07/02/2000;International;Outdoor;Hard;Quarterfinals;3;Ferrero J.C.;Mantilla F.;39;25;6;3;4;6;7;6;;;;;2;1;Completed;;
7;Dubai;Dubai Open;07/02/2000;International;Outdoor;Hard;Quarterfinals;3;Kiefer N.;Golmard J.;4;33;6;3;7;6;;;;;;;2;0;Completed;;
7;Dubai;Dubai Open;07/02/2000;International;Outdoor;Hard;Semifinals;3;Ferrero J.C.;Alami K.;39;34;7;6;6;3;;;;;;;2;0;Completed;;
7;Dubai;Dubai Open;07/02/2000;International;Outdoor;Hard;Semifinals;3;Kiefer N.;Costa A.;4;18;6;2;6;0;;;;;;;2;0;Completed;;
7;Dubai;Dubai Open;07/02/2000;International;Outdoor;Hard;The Final;3;Kiefer N.;Ferrero J.C.;4;39;7;5;4;6;6;3;;;;;2;1;Completed;;
